DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price
1/5/2017,0.72565107,12093.2975,243.618,0.582772789,2028000,0.66,19148.194,15637.82,3571.6,13346.1,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5487.94,2269.00
1/6/2017,0.72565107,12093.2975,243.618,0.582772789,2028000,0.66,19148.194,15637.82,3571.6,13346.1,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5521.06,2276.98
1/7/2017,0.72565107,12093.2975,243.618,0.582772789,2080000,0.66,19148.194,15637.82,3571.6,13346.1,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5521.06,2276.98
1/8/2017,0.72565107,12093.2975,243.618,0.582772789,2080000,0.66,19148.194,15637.82,3571.6,13346.1,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5521.06,2276.98
1/9/2017,0.72565107,12093.2975,243.618,0.582772789,2080000,0.66,19148.194,15637.82,3306.4,13369.2,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5531.82,2268.90
1/10/2017,0.72565107,12093.2975,243.618,0.582772789,2080000,0.66,19148.194,15637.82,3306.4,13369.2,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5551.82,2268.90
1/11/2017,0.72565107,12100.29,243.618,0.582772789,2080000,0.66,19148.194,15637.82,3306.4,13369.2,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5563.65,2275.32
1/12/2017,0.72565107,12100.29,243.618,0.582772789,2080000,0.66,19148.194,15637.82,3306.4,13369.2,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5547.49,2270.44
1/13/2017,0.72565107,12100.29,243.618,0.582772789,2080000,0.66,19148.194,15637.82,3306.4,13369.2,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5574.12,2274.64
1/14/2017,0.72565107,12100.29,243.618,0.582772789,2099000,0.66,19148.194,15637.82,3306.4,13369.2,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5574.12,2274.64
1/15/2017,0.72565107,12100.29,243.618,0.582772789,2099000,0.66,19148.194,15637.82,3306.4,13369.2,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5574.12,2274.64
1/16/2017,0.72565107,12100.29,243.618,0.582772789,2099000,0.66,19148.194,15637.82,3297,13333.9,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5574.12,2274.64
1/17/2017,0.72565107,12100.29,243.618,0.582772789,2099000,0.66,19148.194,15637.82,3297,13333.9,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5538.73,2267.89
1/18/2017,0.72565107,12108.9175,243.618,0.582772789,2099000,0.66,19148.194,15637.82,3297,13333.9,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5555.65,2271.89
1/19/2017,0.72565107,12108.9175,243.618,0.582772789,2099000,0.66,19148.194,15637.82,3297,13333.9,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5540.08,2263.69
1/20/2017,0.72565107,12108.9175,243.618,0.582772789,2099000,0.66,19148.194,15637.82,3297,13333.9,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5555.33,2271.31
1/21/2017,0.72565107,12108.9175,243.618,0.582772789,2067000,0.66,19148.194,15637.82,3297,13333.9,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5555.33,2271.31
1/22/2017,0.72565107,12108.9175,243.618,0.582772789,2067000,0.66,19148.194,15637.82,3297,13333.9,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5555.33,2271.31
1/23/2017,0.72565107,12108.9175,243.618,0.582772789,2067000,0.66,19148.194,15637.82,3371.8,13234.4,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5552.94,2265.20
1/24/2017,0.72565107,12108.9175,243.618,0.582772789,2067000,0.66,19148.194,15637.82,3371.8,13234.4,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5600.96,2280.07
1/25/2017,0.72565107,12112.3729,243.618,0.582772789,2067000,0.66,19148.194,15637.82,3371.8,13234.4,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5656.34,2298.37
1/26/2017,0.72565107,12112.3729,243.618,0.582772789,2067000,0.66,19148.194,15637.82,3371.8,13234.4,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5655.18,2296.68
1/27/2017,0.72565107,12112.3729,243.618,0.582772789,2067000,0.66,19148.194,15637.82,3371.8,13234.4,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5660.78,2294.69
1/28/2017,0.72565107,12112.3729,243.618,0.582772789,2078000,0.66,19148.194,15637.82,3371.8,13234.4,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5660.78,2294.69
1/29/2017,0.72565107,12112.3729,243.618,0.582772789,2078000,0.66,19148.194,15637.82,3371.8,13234.4,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5660.78,2294.69
1/30/2017,0.72565107,12112.3729,243.618,0.582772789,2078000,0.66,19148.194,15637.82,3517.9,13180.5,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5613.71,2280.90
1/31/2017,0.72565107,12112.3729,243.618,0.582772789,2078000,0.56,19148.194,15637.82,3517.9,13180.5,3.436305775,6.9,17889.094,2.661562,0.26537,4.7,5614.79,2278.87
2/1/2017,0.77438158,12125.451,244.006,0.314611739,2078000,0.66,19148.194,15637.82,3517.9,13180.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5642.65,2279.55
2/2/2017,0.77438158,12125.451,244.006,0.314611739,2078000,0.66,19148.194,15637.82,3517.9,13180.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5636.20,2280.85
2/3/2017,0.77438158,12125.451,244.006,0.314611739,2078000,0.66,19148.194,15637.82,3517.9,13180.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5666.77,2297.42
2/4/2017,0.77438158,12125.451,244.006,0.314611739,2064000,0.66,19148.194,15637.82,3517.9,13180.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5666.77,2297.42
2/5/2017,0.77438158,12125.451,244.006,0.314611739,2064000,0.66,19148.194,15637.82,3517.9,13180.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5666.77,2297.42
2/6/2017,0.77438158,12125.451,244.006,0.314611739,2064000,0.66,19148.194,15637.82,3306.5,13277.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5663.55,2292.56
2/7/2017,0.77438158,12125.451,244.006,0.314611739,2064000,0.66,19148.194,15637.82,3306.5,13277.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5674.22,2293.08
2/8/2017,0.77438158,12128.717,244.006,0.314611739,2064000,0.66,19148.194,15637.82,3306.5,13277.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5682.45,2294.67
2/9/2017,0.77438158,12128.717,244.006,0.314611739,2064000,0.66,19148.194,15637.82,3306.5,13277.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5715.18,2307.87
2/10/2017,0.77438158,12128.717,244.006,0.314611739,2064000,0.66,19148.194,15637.82,3306.5,13277.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5734.13,2316.10
2/11/2017,0.77438158,12128.717,244.006,0.314611739,2076000,0.66,19148.194,15637.82,3306.5,13277.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5734.13,2316.10
2/12/2017,0.77438158,12128.717,244.006,0.314611739,2076000,0.66,19148.194,15637.82,3306.5,13277.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5734.13,2316.10
2/13/2017,0.77438158,12128.717,244.006,0.314611739,2076000,0.66,19148.194,15637.82,3258.5,13297.7,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5763.96,2328.25
2/14/2017,0.77438158,12128.717,244.006,0.314611739,2076000,0.66,19148.194,15637.82,3258.5,13297.7,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5782.57,2337.58
2/15/2017,0.77438158,12146.1683,244.006,0.314611739,2076000,0.66,19148.194,15637.82,3258.5,13297.7,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5819.44,2349.25
2/16/2017,0.77438158,12146.1683,244.006,0.314611739,2076000,0.66,19148.194,15637.82,3258.5,13297.7,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5814.90,2347.22
2/17/2017,0.77438158,12146.1683,244.006,0.314611739,2076000,0.66,19148.194,15637.82,3258.5,13297.7,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5838.58,2351.16
2/18/2017,0.77438158,12146.1683,244.006,0.314611739,2034000,0.66,19148.194,15637.82,3258.5,13297.7,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5838.58,2351.16
2/19/2017,0.77438158,12146.1683,244.006,0.314611739,2034000,0.66,19148.194,15637.82,3258.5,13297.7,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5838.58,2351.16
2/20/2017,0.77438158,12146.1683,244.006,0.314611739,2034000,0.66,19148.194,15637.82,3373.9,13300.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5838.58,2351.16
2/21/2017,0.77438158,12146.1683,244.006,0.314611739,2034000,0.66,19148.194,15637.82,3373.9,13300.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5865.95,2365.38
2/22/2017,0.77438158,12161.7432,244.006,0.314611739,2034000,0.66,19148.194,15637.82,3373.9,13300.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5860.63,2362.82
2/23/2017,0.77438158,12161.7432,244.006,0.314611739,2034000,0.66,19148.194,15637.82,3373.9,13300.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5835.51,2363.81
2/24/2017,0.77438158,12161.7432,244.006,0.314611739,2034000,0.66,19148.194,15637.82,3373.9,13300.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5845.31,2367.34
2/25/2017,0.77438158,12161.7432,244.006,0.314611739,2065000,0.66,19148.194,15637.82,3373.9,13300.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5845.31,2367.34
2/26/2017,0.77438158,12161.7432,244.006,0.314611739,2065000,0.66,19148.194,15637.82,3373.9,13300.5,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5845.31,2367.34
2/27/2017,0.77438158,12161.7432,244.006,0.314611739,2065000,0.66,19148.194,15637.82,3495.8,13322.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5861.90,2369.75
2/28/2017,0.77438158,12161.7432,244.006,0.314611739,2065000,0.57,19148.194,15637.82,3495.8,13322.6,3.292346339,7.2,17889.094,2.67446,0.22283,4.6,5825.44,2363.64
3/1/2017,0.91650302,12171.1202,243.892,0.081279787,2065000,0.66,19148.194,15637.82,3495.8,13322.6,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5904.03,2395.96
3/2/2017,0.91650302,12171.1202,243.892,0.081279787,2065000,0.66,19148.194,15637.82,3495.8,13322.6,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5861.22,2381.92
3/3/2017,0.91650302,12171.1202,243.892,0.081279787,2065000,0.66,19148.194,15637.82,3495.8,13322.6,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5870.75,2383.12
3/4/2017,0.91650302,12171.1202,243.892,0.081279787,2020000,0.66,19148.194,15637.82,3495.8,13322.6,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5870.75,2383.12
3/5/2017,0.91650302,12171.1202,243.892,0.081279787,2020000,0.66,19148.194,15637.82,3495.8,13322.6,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5870.75,2383.12
3/6/2017,0.91650302,12171.1202,243.892,0.081279787,2020000,0.66,19148.194,15637.82,3363.3,13448.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5849.18,2375.31
3/7/2017,0.91650302,12171.1202,243.892,0.081279787,2020000,0.66,19148.194,15637.82,3363.3,13448.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5833.93,2368.39
3/8/2017,0.91650302,12164.3716,243.892,0.081279787,2020000,0.66,19148.194,15637.82,3363.3,13448.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5837.55,2362.98
3/9/2017,0.91650302,12164.3716,243.892,0.081279787,2020000,0.66,19148.194,15637.82,3363.3,13448.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5838.81,2364.87
3/10/2017,0.91650302,12164.3716,243.892,0.081279787,2020000,0.66,19148.194,15637.82,3363.3,13448.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5861.73,2372.60
3/11/2017,0.91650302,12164.3716,243.892,0.081279787,2002000,0.66,19148.194,15637.82,3363.3,13448.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5861.73,2372.60
3/12/2017,0.91650302,12164.3716,243.892,0.081279787,2002000,0.66,19148.194,15637.82,3363.3,13448.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5861.73,2372.60
3/13/2017,0.91650302,12164.3716,243.892,0.081279787,2002000,0.66,19148.194,15637.82,3347.9,13502.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5875.78,2373.47
3/14/2017,0.91650302,12164.3716,243.892,0.081279787,2002000,0.66,19148.194,15637.82,3347.9,13502.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5856.82,2365.45
3/15/2017,0.91650302,12179.7184,243.892,0.081279787,2002000,0.66,19148.194,15637.82,3347.9,13502.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5900.05,2385.26
3/16/2017,0.91650302,12179.7184,243.892,0.081279787,2002000,0.91,19148.194,15637.82,3347.9,13502.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5900.76,2381.38
3/17/2017,0.91650302,12179.7184,243.892,0.081279787,2002000,0.91,19148.194,15637.82,3347.9,13502.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5901.00,2378.25
3/18/2017,0.91650302,12179.7184,243.892,0.081279787,2021000,0.91,19148.194,15637.82,3347.9,13502.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5901.00,2378.25
3/19/2017,0.91650302,12179.7184,243.892,0.081279787,2021000,0.91,19148.194,15637.82,3347.9,13502.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5901.00,2378.25
3/20/2017,0.91650302,12179.7184,243.892,0.081279787,2021000,0.91,19148.194,15637.82,3459.2,13501.3,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5901.53,2373.47
3/21/2017,0.91650302,12179.7184,243.892,0.081279787,2021000,0.91,19148.194,15637.82,3459.2,13501.3,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5793.82,2344.02
3/22/2017,0.91650302,12167.5304,243.892,0.081279787,2021000,0.91,19148.194,15637.82,3459.2,13501.3,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5821.64,2348.45
3/23/2017,0.91650302,12167.5304,243.892,0.081279787,2021000,0.91,19148.194,15637.82,3459.2,13501.3,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5817.69,2345.96
3/24/2017,0.91650302,12167.5304,243.892,0.081279787,2021000,0.91,19148.194,15637.82,3459.2,13501.3,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5828.74,2343.98
3/25/2017,0.91650302,12167.5304,243.892,0.081279787,2027000,0.91,19148.194,15637.82,3459.2,13501.3,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5828.74,2343.98
3/26/2017,0.91650302,12167.5304,243.892,0.081279787,2027000,0.91,19148.194,15637.82,3459.2,13501.3,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5828.74,2343.98
3/27/2017,0.91650302,12167.5304,243.892,0.081279787,2027000,0.91,19148.194,15637.82,3594.6,13470.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5840.37,2341.59
3/28/2017,0.91650302,12167.5304,243.892,0.081279787,2027000,0.91,19148.194,15637.82,3594.6,13470.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5875.14,2358.57
3/29/2017,0.91650302,12149.293,243.892,0.081279787,2027000,0.91,19148.194,15637.82,3594.6,13470.1,1.914383675,7.2,17889.094,2.453344,0.00814,4.4,5897.55,2361.13
