DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
10/15/2023,1.437243164,16958.847,306.3963889,0.521570056,1253757.259,4.935750292,26912.5919,31221.14043,18882.80203,20383.39097,4.928852409,5.089766268,20315.25816,6.406723914,0.385450832,3.589918265,12228.79264,4096.940787,463270.3616
10/22/2023,1.44503696,16950.36308,306.5368973,0.536244775,1159173.724,4.908374422,26923.38286,31225.96829,18894.1799,20367.88162,4.926282715,5.088829392,20316.54002,6.401701187,0.383837692,3.5863096,12220.7534,4089.022044,436468.8322
10/29/2023,1.441428209,16939.67062,306.6873142,0.523285321,1213375.645,4.926435398,26930.97526,31236.56547,18892.51463,20353.52351,4.929539032,5.083480835,20312.32577,6.403635647,0.385368352,3.584203689,12209.46916,4089.413421,451787.3664
11/5/2023,1.439816822,16930.66763,306.8149732,0.559264967,1188623.926,4.906726978,26938.19874,31247.47738,18887.02823,20335.92244,4.907054528,5.1,20305.36296,6.40429605,0.383313675,3.599981726,12236.19593,4100.319081,444782.7797
11/12/2023,1.437243164,16920.09928,306.9578089,0.521570056,1187281.817,4.935879479,26962.46596,31249.46831,18883.59585,20331.45862,4.928852409,5.089766268,20322.66246,6.404502183,0.385450832,3.589918265,12231.00624,4097.041543,444398.6304
11/19/2023,1.44503696,16912.01215,307.0946951,0.536244775,1093363.037,4.908477771,26972.71895,31254.01046,18894.96579,20316.48665,4.926282715,5.088829392,20323.86606,6.39960126,0.383837692,3.586309599,12222.9021,4089.121792,417785.807
11/26/2023,1.441428209,16901.71241,307.2415132,0.523285321,1148223.065,4.926518078,26979.77919,31264.32482,18893.29266,20302.66036,4.929539032,5.083480835,20319.57438,6.401650847,0.385368352,3.584203689,12211.55486,4089.512172,433291.161
12/3/2023,1.439816822,16893.09812,307.3655965,0.559264967,1124122.871,4.906793122,26986.47624,31274.95675,18887.79848,20285.58561,4.907054528,5.1,20312.53496,6.402420066,0.383313675,3.599981726,12238.22047,4100.416845,426471.5265
12/10/2023,1.437243164,16882.91449,307.5048797,0.521570056,1123425.773,4.935932394,27010.2227,31276.67054,18884.3584,20281.64266,4.928852409,5.089766268,20329.75866,6.402729048,0.385450832,3.589918264,12232.97143,4097.138328,426270.4806
12/17/2023,1.44503696,16875.20815,307.6382362,0.536244775,1030145.553,4.908520104,27019.96055,31280.93833,18895.72071,20267.18617,4.926282715,5.088829392,20330.88726,6.397925336,0.383837692,3.586309599,12224.80967,4089.21761,399838.9302
12/24/2023,1.441428209,16865.28529,307.7815474,0.523285321,1085637.756,4.926551943,27026.51121,31290.98111,18894.04003,20253.87002,4.929539032,5.083480835,20326.52138,6.400066804,0.385368352,3.584203688,12213.40649,4089.607031,415523.7452
12/31/2023,1.439816822,16857.04403,307.9021465,0.559264967,1062163.416,4.906820214,27032.70418,31301.3442,18888.53837,20237.30014,4.907054528,5.1,20319.40853,6.400922866,0.383313675,3.599981725,12240.01782,4100.510756,408881.7777
1/7/2024,1.437243164,16847.2296,308.0379678,0.521570056,1062085.912,4.935954068,27055.952,31302.79185,18885.09089,20233.85684,4.928852409,5.089766268,20336.55959,6.401313931,0.385450832,3.589918264,12234.71607,4097.2313,408856.6227
1/14/2024,1.44503696,16839.88868,308.167885,0.536244775,969419.0906,4.908537443,27065.19659,31306.7962,18896.44588,20219.89483,4.926282715,5.088829392,20337.61631,6.396587802,0.383837692,3.586309598,12226.50316,4089.309652,382599.2049
1/21/2024,1.441428209,16830.32751,308.3077789,0.523285321,1025518.558,4.926565815,27071.2593,31316.57818,18894.75795,20207.06803,4.929539032,5.083480835,20333.17932,6.398802599,0.385368352,3.584203688,12215.05033,4089.698153,398456.4116
1/28/2024,1.439816822,16822.44422,308.4249828,0.559264967,1002645.41,4.906831311,27076.96959,31326.6831,18889.24911,20190.98245,4.907054528,5.1,20325.9961,6.399727971,0.383313675,3.599981725,12241.61345,4100.600966,391985.1125
2/4/2024,1.437243164,16812.98411,308.5574308,0.521570056,1003163.086,4.935962946,27099.73994,31327.87519,18885.79453,20188.01842,4.928852409,5.089766268,20343.07753,6.400184545,0.385450832,3.589918263,12236.26492,4097.320609,392128.9198
2/11/2024,1.44503696,16805.99387,308.6839964,0.536244775,911085.4931,4.908544545,27108.5122,31331.62656,18897.14248,20174.53073,4.926282715,5.088829392,20344.06537,6.395520334,0.383837692,3.586309598,12228.00659,4089.398068,366038.7751
2/18/2024,1.441428209,16796.77979,308.8205605,0.523285321,967768.2965,4.926571496,27114.10768,31341.15811,18895.44758,20162.17335,4.929539032,5.083480835,20339.56021,6.397793654,0.385368352,3.584203687,12216.50968,4089.785684,382061.5827
2/25/2024,1.439816822,16789.24005,308.9344559,0.559264967,945472.6507,4.906835857,27119.35578,31351.01513,18889.93185,20146.55232,4.907054528,5.1,20332.30956,6.39877434,0.383313675,3.599981724,12243.03002,4100.687622,375754.229
3/3/2024,1.437243164,16780.11995,309.0636169,0.521570056,946562.0551,4.935966582,27141.66892,31351.96182,18886.47044,20144.04805,4.928852409,5.089766268,20349.32427,6.399283197,0.385450832,3.589918263,12237.63995,4097.406398,376060.3425
3/10/2024,1.44503696,16773.46625,309.1869166,0.536244775,855050.472,4.908547454,27149.98891,31355.47026,18897.81163,20131.01535,4.926282715,5.088829392,20350.24608,6.394668401,0.383837692,3.586309597,12229.34131,4089.482999,350130.8815
3/17/2024,1.441428209,16764.58527,309.3202359,0.523285321,912293.6257,4.926573824,27155.137,31364.76133,18896.11004,20119.10826,4.929539032,5.083480835,20345.6756,6.396988427,0.385368352,3.584203687,12217.80526,4089.869766,366312.7664
3/24/2024,1.439816822,16757.3752,309.4309075,0.559264967,890552.7265,4.906837719,27159.94253,31374.3803,18890.58768,20103.93285,4.907054528,5.1,20338.36031,6.39801326,0.383313675,3.599981724,12244.28761,4100.770864,360162.8995
3/31/2024,1.437243164,16748.58141,309.5568654,0.521570056,892191.3302,4.935968071,27181.81787,31375.09133,18887.11971,20101.86959,4.928852409,5.089766268,20355.31107,6.398563842,0.385450832,3.589918262,12238.86067,4097.488807,360624.9254
